step,time,particles,injected_total,outflow_total,mass_error,pairs,neighbor_mean,wall_contacts,film_particles,film_mean,film_max,max_speed
67,0.1005,816,816,0,0,3573,8.757352941176471,0,0,0.0,0.0,2.959749291941294
68,0.10200000000000001,828,828,0,0,3644,8.801932367149758,0,0,0.0,0.0,2.9744633450890356
69,0.10350000000000001,840,840,0,0,3687,8.778571428571428,0,0,0.0,0.0,2.989177407558728
70,0.105,852,852,0,0,3756,8.816901408450704,0,0,0.0,0.0,3.0038914792133857
71,0.1065,864,864,0,0,3802,8.800925925925926,0,0,0.0,0.0,3.018605559918693
72,0.108,876,876,0,0,3856,8.80365296803653,0,0,0.0,0.0,3.033319649542941
73,0.1095,888,888,0,0,3893,8.768018018018019,0,0,0.0,0.0,3.0480337479569632
74,0.111,900,900,0,0,3953,8.784444444444444,0,0,0.0,0.0,3.0627478550340763
75,0.1125,912,912,0,0,3997,8.765350877192983,0,0,0.0,0.0,3.077461970650019
76,0.114,924,924,0,0,4058,8.783549783549784,0,0,0.0,0.0,3.092176094682895
77,0.1155,936,936,0,0,4117,8.797008547008547,0,0,0.0,0.0,3.1068902270131185
78,0.117,948,948,0,0,4158,8.772151898734178,0,0,0.0,0.0,3.121604367523356
79,0.11850000000000001,960,960,0,0,4223,8.797916666666667,0,0,0.0,0.0,3.136318516098477
80,0.12,972,972,0,0,4279,8.804526748971194,0,0,0.0,0.0,3.1510326726255022
81,0.1215,984,984,0,0,4327,8.794715447154472,0,0,0.0,0.0,3.1657468369935517
82,0.123,996,996,0,0,4365,8.765060240963855,0,0,0.0,0.0,3.1804610090937984
83,0.1245,1008,1008,0,0,4419,8.767857142857142,0,0,0.0,0.0,3.195175188819418
84,0.126,1020,1020,0,0,4464,8.75294117647059,0,0,0.0,0.0,3.209889376065547
85,0.1275,1032,1032,0,0,4500,8.720930232558139,0,0,0.0,0.0,3.2246035707292346
86,0.129,1044,1044,0,0,4534,8.685823754789272,0,0,0.0,0.0,3.239317772709401
87,0.1305,1056,1056,0,0,4581,8.676136363636363,0,0,0.0,0.0,3.254031981906794
88,0.132,1068,1068,0,0,4604,8.621722846441948,0,1,0.07038829905488632,0.07038829905488632,3.268746198223949
89,0.1335,1080,1080,0,0,4654,8.618518518518519,0,1,0.06545533495643253,0.06545533495643253,3.283460421565149
90,0.135,1092,1092,0,0,4671,8.554945054945055,0,1,0.06050029835797878,0.06050029835797878,3.298174651836383
91,0.1365,1104,1104,0,0,4706,8.52536231884058,0,1,0.055523189259525,0.055523189259525,3.3128888889453125
92,0.138,1116,1116,0,0,4765,8.539426523297491,0,3,0.0643187796879542,0.0712601814081882,3.3276031328012317
93,0.1395,1128,1128,0,0,4783,8.48049645390071,0,3,0.05942178612848725,0.06646399691374401,3.342317383315031
94,0.14100000000000001,1140,1140,0,0,4865,8.535087719298245,0,3,0.05450272006902035,0.06164573991929985,3.3570316403991636
95,0.14250000000000002,1152,1152,0,0,4910,8.524305555555555,0,4,0.05494133901128581,0.07108061151648305,3.3717459039676108
96,0.14400000000000002,1164,1164,0,0,4944,8.494845360824742,0,4,0.05002062998913212,0.06628740860626901,3.3864601739358493
97,0.1455,1176,1176,0,0,4985,8.477891156462585,0,4,0.045077867466596415,0.06147220919452705,3.4011744502208185
98,0.147,1188,1188,0,0,5018,8.447811447811448,0,6,0.04983765053557077,0.06937964916718671,3.4158887327408882
99,0.1485,1200,1200,0,0,5068,8.446666666666667,1,8,0.05131896931706064,0.06953606208633469,3.38441704154462
100,0.15,1212,1212,0,0,5141,8.483498349834983,0,9,0.05206179763446007,0.06720355899020607,3.3991312217377176
101,0.1515,1224,1224,0,0,5195,8.488562091503267,0,14,0.05856339721127816,0.07140607723501098,3.413845408997991
102,0.153,1236,1236,0,0,5232,8.466019417475728,0,21,0.06522272280513725,0.07089354428305876,3.42855960323445
103,0.1545,1248,1248,0,0,5283,8.466346153846153,2,25,0.06487705033780132,0.07185914472833531,3.4432738043576605
104,0.156,1260,1260,0,0,5311,8.43015873015873,0,28,0.06184575344985914,0.07009428077871867,3.4579880122797104
105,0.1575,1272,1272,0,0,5373,8.44811320754717,0,35,0.06442444286291944,0.07163326874920205,3.4727022269141785
106,0.159,1284,1284,0,0,5418,8.439252336448599,1,40,0.06285662090735356,0.0712308757357024,3.4874164481760994
107,0.1605,1296,1296,0,0,5447,8.405864197530864,0,43,0.06093824355027627,0.07179253186728639,3.5021306759819386
108,0.162,1308,1308,0,0,5464,8.35474006116208,4,51,0.06092054828425411,0.07184184421992,3.5019313136988752
109,0.1635,1320,1320,0,0,5504,8.33939393939394,5,60,0.06255163901142294,0.07197616863433377,3.516645663320895
110,0.165,1332,1332,0,0,5532,8.306306306306306,7,70,0.0648933828637934,0.07065655870200792,3.53136001836298
111,0.1665,1344,1344,0,0,5573,8.293154761904763,5,78,0.06466680518830123,0.07199213668774286,3.546074378757658
112,0.168,1356,1356,0,0,5596,8.253687315634219,12,85,0.061840663093373174,0.07199895004640254,3.560788744438574
113,0.1695,1368,1368,0,0,5629,8.22953216374269,16,95,0.06494396808187496,0.0707505642271648,3.575503115340464
114,0.171,1380,1380,0,0,5691,8.247826086956522,16,106,0.06535300086512827,0.07151571663050961,3.590217491399134
115,0.17250000000000001,1392,1392,0,0,5764,8.281609195402298,22,115,0.06530417691937204,0.07195565166439268,3.604931872551438
116,0.17400000000000002,1404,1404,0,0,5856,8.341880341880342,30,124,0.0639237279940282,0.07189909025604717,3.6196462587352567
117,0.17550000000000002,1416,1416,0,0,5934,8.38135593220339,30,133,0.06323352438911613,0.07170203700356927,3.634360649889478
118,0.177,1428,1428,0,0,6008,8.414565826330533,37,145,0.06291503353318174,0.07196316905884748,3.649075045953974
119,0.1785,1440,1440,0,0,6086,8.452777777777778,50,150,0.06192214980818893,0.07146181847465954,3.595979340617794
120,0.18,1452,1452,0,0,6183,8.516528925619834,54,162,0.0643973911174792,0.0714272962276896,3.586623880590784
121,0.1815,1464,1464,0,0,6265,8.558743169398907,58,170,0.06177014321950098,0.07059986465990879,3.6012595515476797
122,0.183,1476,1476,0,0,6370,8.631436314363144,67,186,0.0640200396982196,0.07198784338908588,3.607618215118553
123,0.1845,1488,1488,0,0,6443,8.65994623655914,80,200,0.06467709707107804,0.07157028789997406,3.616687667727025
124,0.186,1500,1500,0,0,6553,8.737333333333334,85,207,0.06170630682773992,0.07083508952483557,3.6118312739869363
125,0.1875,1500,1500,0,0,6613,8.817333333333334,96,220,0.06333867114852511,0.07176903940476796,3.624922839623778
126,0.189,1500,1500,0,0,6636,8.848,107,233,0.06374693765756567,0.0719750283621951,3.638073519430477
127,0.1905,1500,1500,0,0,6667,8.889333333333333,115,245,0.06457802246330263,0.07116966213049743,3.651280918516169
128,0.192,1500,1500,0,0,6736,8.981333333333334,128,260,0.06638454563994263,0.07187683543016211,3.6645363324200773
129,0.1935,1500,1500,0,0,6811,9.081333333333333,138,270,0.06494647547227664,0.07172381697203134,3.6774784261382294
130,0.195,1500,1500,0,0,6926,9.234666666666667,145,281,0.06342552436083183,0.07197165701152862,3.689202683211057
131,0.1965,1500,1500,0,0,7023,9.364,155,291,0.06289047526889897,0.07114350945364241,3.6987963038931424
132,0.198,1500,1500,0,0,7139,9.518666666666666,162,303,0.061455904539117506,0.07173113101153454,3.702715077325098
133,0.1995,1500,1500,0,0,7262,9.682666666666666,181,319,0.062722440874896,0.07114062737034756,3.717374730519268
134,0.201,1500,1500,0,0,7408,9.877333333333333,191,330,0.062486794783652745,0.0715072967923613,3.676972686069793
135,0.2025,1500,1500,0,0,7541,10.054666666666666,198,341,0.0639557133163553,0.07193331779682723,3.633113944725198
136,0.20400000000000001,1500,1500,0,0,7698,10.264,217,351,0.06323033213426779,0.07108983182340832,3.6478268300108048
137,0.20550000000000002,1500,1500,0,0,7871,10.494666666666667,223,364,0.0632954013903249,0.0719494109360138,3.6625397322877835
138,0.20700000000000002,1500,1500,0,0,8038,10.717333333333332,235,374,0.06213191158598167,0.0718838107803031,3.6772526513521826
139,0.2085,1500,1500,0,0,8248,10.997333333333334,248,384,0.06264218030282759,0.07171798716191384,3.6367319940916603
140,0.21,1500,1500,0,0,8459,11.278666666666666,256,397,0.0630971492464289,0.07162775389715394,3.646426235656045
141,0.2115,1500,1500,0,0,8666,11.554666666666666,264,408,0.06123363088438354,0.0719472932130049,3.651900941539156
142,0.213,1500,1500,0,0,8859,11.812,276,425,0.0635346584188653,0.07191934614083008,3.6196932996681856
143,0.2145,1500,1500,0,0,9060,12.08,288,435,0.06429396303938383,0.071533454777007,3.571967497344222
144,0.216,1500,1500,0,0,9316,12.421333333333333,302,450,0.06483471437850541,0.07151848644940016,3.5846945662709335
145,0.2175,1500,1500,0,0,9539,12.718666666666667,312,462,0.06363812871329387,0.07175116943963723,3.599017320301594
146,0.219,1500,1500,0,0,9778,13.037333333333333,323,472,0.06280511977586106,0.07174200540713811,3.6133485309908155
147,0.2205,1500,1500,0,0,10062,13.416,336,482,0.06116744540437952,0.07181576222660334,3.6276871305175487
148,0.222,1500,1500,0,0,10348,13.797333333333333,343,493,0.06203559824925683,0.07196449257914457,3.642031892383517
149,0.2235,1500,1500,0,0,10712,14.282666666666668,352,505,0.06085792712417528,0.07174066246458548,3.655895990576175
150,0.225,1500,1500,0,0,11028,14.704,359,519,0.06216458171518615,0.0716770883775177,3.6269154526159215
151,0.2265,1500,1500,0,0,11412,15.216,371,532,0.061264239327873234,0.07032769069332036,3.615298383821573
152,0.228,1500,1500,0,0,11721,15.628,383,542,0.058978110187366574,0.07192443278141981,3.590021730881739
153,0.2295,1500,1500,0,0,12028,16.037333333333333,390,556,0.061592402262982106,0.07178018845514796,3.597473730367806
